날짜,평균기온(℃),최저기온(℃),최고기온(℃),아이스크림/빙수
2019.10.13,15.9,10.6,22.3,33
2019.10.14,14.7,9.3,21.3,31
2019.10.15,13.3,8.5,18.8,32
2019.10.16,13.3,8.1,20.4,32
2019.10.17,14,9.5,19.9,29
2019.10.18,15.3,11,19.5,27
2019.10.19,16.2,11.6,22.6,28
2019.10.20,15.1,10.4,22.6,31
2019.10.21,15.3,9.5,23,34
2019.10.22,15.9,10.3,22.9,32
2019.10.23,16,12.1,20,32
2019.10.24,17.4,13.6,22.1,32
2019.10.25,16.9,12,22.7,25
2019.10.26,12.8,8.9,17,24
2019.10.27,10.7,5.4,17.4,30
2019.10.28,11.5,4.5,18.5,33
2019.10.29,13.2,8,18.8,29
2019.10.30,11.3,5.7,18.3,28
2019.10.31,13.3,6.1,20.7,25
2019.11.1,14.3,9,21.8,23
2019.11.2,13.5,7.7,19.9,25
2019.11.3,13.8,9.4,20.5,32
2019.11.4,12.5,7.6,18.9,31
2019.11.5,11.7,6,19.1,30
2019.11.6,11.3,5.5,18.6,32
2019.11.7,10.8,5.7,16.9,27
2019.11.8,7.8,2.3,15.3,22
2019.11.9,8.5,1.6,17.3,22
2019.11.10,9.4,3,15.8,29
2019.11.11,12.1,7.8,16.9,27
2019.11.12,9.7,4.8,16.6,28
2019.11.13,8.9,3.7,13.9,29
2019.11.14,3.7,-0.7,8.6,24
2019.11.15,7.2,-1,14,21
2019.11.16,10.3,5.1,17.1,21
2019.11.17,11,6.1,15.4,29
2019.11.18,8.7,3.4,16.4,29
2019.11.19,3.7,0.6,7,29
2019.11.20,2.6,-2.1,8.9,30
2019.11.21,5,-2.6,12.2,27
2019.11.22,9.3,2.8,17.3,26
2019.11.23,10.8,4.7,18.2,25
2019.11.24,12.8,7.4,19.6,32
2019.11.25,5.9,3.3,10.6,30
2019.11.26,7.7,2.6,13.5,31
2019.11.27,6.2,2.6,9.7,30
2019.11.28,4.7,0.3,10.4,28
2019.11.29,3.4,-1.2,9.9,24
2019.11.30,5.4,-1.5,12.7,24
2019.12.1,6.3,4.7,8.1,31
2019.12.2,3.6,0.2,6.8,33
2019.12.3,2.4,-2.7,6.8,30
2019.12.4,4.2,-0.3,9.5,28
2019.12.5,0.2,-4.4,4.8,26
2019.12.6,-3.2,-7.7,2.3,24
2019.12.7,0.1,-6.5,6.1,25
2019.12.8,1.4,-3.3,8,39
2019.12.9,3,-3.6,10.1,33
2019.12.10,6.5,1.5,13.4,30
2019.12.11,6.9,1.8,13.3,30
2019.12.12,1.7,-2.4,6.1,30
2019.12.13,1.6,-4.6,8.1,28
2019.12.14,4,-0.1,9,30
2019.12.15,4.7,-1.5,12.4,35
2019.12.16,7.1,1,14.1,35
2019.12.17,8.3,3.9,12.5,35
2019.12.18,4.6,1.8,8.5,33
2019.12.19,2.2,-1.3,6.8,31
2019.12.20,1,-3,5.4,25
2019.12.21,0.2,-4.1,4.7,25
2019.12.22,3,-1.1,9,31
2019.12.23,3.8,-1,8.7,29
2019.12.24,2.1,-2,9,22
2019.12.25,3.5,-3.2,10.9,24
2019.12.26,3.7,1.4,6.1,26
2019.12.27,0.6,-3.2,5.1,24
2019.12.28,0.5,-4.9,7.5,25
2019.12.29,2.6,-2.4,6.6,29
2019.12.30,5,0.1,9.8,28
2019.12.31,-3.8,-6.7,0.4,22
